test_id,id,type,score,title,opts,ans,analysis
paper_001,1,single,4,完整的计算机硬件系统五大组成部分是？,A.CPU、显示器、键盘、鼠标、硬盘|B.运算器、控制器、存储器、输入设备、输出设备|C.主机、显示器、外设、内存、硬盘|D.运算器、CPU、内存、硬盘、外设,B,冯・诺依曼硬件体系将计算机硬件划分为运算器、控制器、存储器、输入设备、输出设备五大核心部件。
paper_001,2,single,4,计算机中存储数据最小单位是？,A.Byte|B.Bit|C.KB|D.MB,B,bit（比特）是二进制最小单位，1Byte（字节）=8bit，KB、MB 为更大存储单位。
paper_001,3,single,4,下列设备中，属于输出设备的是？,A.鼠标|B.扫描仪|C.麦克风|D.键盘,B,打印机可输出纸质内容；扫描仪、麦克风、键盘均为向电脑输入信息的输入设备。
paper_001,4,single,4,CPU 中负责完成算术运算和逻辑判断的部件是？,A.控制器|B.运算器|C.寄存器|D.缓存,B,运算器 ALU 专门执行加减乘除、与或非等运算；控制器负责协调指挥计算机各部件工作。
paper_001,5,single,4,下列软件中，属于系统软件的是？,A.WPS 文字|B.Windows 10|C.Photoshop|D.微信,B,Windows 是操作系统，属于系统软件；WPS、PS、微信均为满足用户日常使用的应用软件。
paper_001,6,single,4,断电后数据会全部丢失的存储器是？,A.U 盘|B.硬盘|C.RAM 内存|D.ROM,C,RAM 随机存取存储器依靠通电保存数据，断电数据清空；硬盘、U 盘、ROM 断电数据均可保留。
paper_001,7,single,4,1GB 等于多少 MB？,A.100|B.1024|C.1000|D.8,B,计算机二进制换算标准：1GB=1024MB，1MB=1024KB，1KB=1024B。
paper_001,8,single,4,计算机能直接识别并执行的语言是？,A.汇编语言|B.高级语言|C.机器语言|D.机器语言,C,机器语言由二进制 0、1 代码构成，CPU 可直接识别；汇编、Python 等高级语言都需要翻译后才能运行。
paper_001,9,single,4,下列不属于计算机病毒特征的是？,A.传染性|B.免疫性|C.潜伏性|D.破坏性,B,计算机病毒具备传染性、潜伏性、隐蔽性、破坏性，不存在免疫性这一特点。
paper_001,10,single,4,冯・诺依曼提出计算机存储程序核心思想，核心载体是？,A.控制器|B.存储器|C.输入设备|D.输出设备,B,存储程序原理指将程序与数据一同存入存储器，计算机自动读取执行，存储器是核心载体。
paper_001,11,judge,4,硬盘属于内部存储器。（）,,B,内存（RAM/ROM）是内存储器；硬盘、U 盘属于外部存储器。
paper_001,12,judge,4,Word、Excel 都属于应用软件。（）,,A,办公软件用于文档、表格处理，服务用户日常办公，属于应用软件。
paper_001,13,judge,4,计算机只能处理数字信息，不能处理文字、图片。（）,,B,文字、图片、视频都会被转换为二进制数字，计算机均可处理。
paper_001,14,judge,4,机器语言通用性强，程序员编写程序最方便。（）,,B,机器语言晦涩难懂、通用性差；高级语言编写程序更加简单便捷。
paper_001,15,judge,4,安装杀毒软件可以有效防范大部分计算机病毒。（）,,A,杀毒软件可查杀、拦截恶意病毒，是基础计算机安全防护手段。
paper_001,16,judge,4,控制器负责存储程序和数据。（）,,B,存储器负责存储程序与数据；控制器只负责调度、控制硬件运行。
paper_001,17,fill,4,计算机硬件中，运算器和控制器合称为________。,,中央处理器/CPU,CPU 由运算器、控制器两大核心单元组成，是计算机的核心处理部件。
paper_001,18,fill,4,二进制只有0和________两个数码。,,1,计算机底层采用二进制计数，仅使用 0、1 表示所有数据与指令。
paper_001,19,fill,4,常见输入设备有键盘、鼠标、________（写出一种即可）。,,扫描仪 / 摄像头 / 麦克风,输入设备作用是向计算机传递外部信息。
paper_001,20,fill,4,ROM 中文名称是________，断电数据不会丢失。,,只读存储器,ROM 仅能读取数据，无法随意写入，常用于存放开机基础程序。
paper_001,21,fill,4,计算机病毒是一段具有破坏作用的________代码。,,程序,病毒是人为编写的恶意程序，可自我复制、破坏电脑数据。
paper_001,22,fill,4,显示器、打印机属于计算机________设备。,,输出,输出设备将计算机内部数据转换为人可识别的图像、文字。
paper_001,23,fill,4,完整的冯・诺依曼体系包含硬件五大部件和________原理。,,存储程序,存储程序是冯・诺依曼计算机最核心设计思想。
paper_001,24,fill,4,8 个二进制位组成 1 个________。,,字节/Byte,1Byte=8bit，字节是计算机最常用的数据存储单位。
